"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"28.03.2016","35,51","35,59","35,65","35,42","5,37M","0,62%"
"29.03.2016","35,93","35,40","35,93","35,30","4,99M","1,18%"
"30.03.2016","36,20","36,24","36,40","36,13","5,39M","0,75%"
"31.03.2016","35,88","36,06","36,14","35,86","5,45M","-0,88%"
"01.04.2016","35,48","35,15","35,53","35,10","5,80M","-1,11%"
"04.04.2016","35,40","35,58","35,62","35,36","8,76M","-0,23%"
"05.04.2016","34,74","34,79","34,84","34,67","5,39M","-1,86%"
"06.04.2016","35,30","34,88","35,30","34,81","5,04M","1,61%"
"07.04.2016","34,80","35,01","35,11","34,71","6,95M","-1,42%"
"08.04.2016","35,46","35,46","35,59","35,37","5,74M","1,90%"
"11.04.2016","35,49","35,71","35,84","35,49","9,46M","0,08%"
"12.04.2016","36,03","35,79","36,12","35,59","6,38M","1,52%"
"13.04.2016","36,60","36,50","36,65","36,44","4,35M","1,58%"
"14.04.2016","36,64","36,72","36,76","36,60","5,24M","0,11%"
"15.04.2016","36,54","36,63","36,67","36,54","5,35M","-0,27%"
"18.04.2016","36,87","36,48","36,90","36,46","4,38M","0,90%"
"19.04.2016","37,51","37,40","37,57","37,35","5,62M","1,74%"
"20.04.2016","37,52","37,49","37,70","37,41","4,81M","0,03%"
"21.04.2016","37,30","37,49","37,51","37,20","4,59M","-0,59%"
"22.04.2016","37,27","37,28","37,38","37,14","5,63M","-0,08%"
"25.04.2016","37,11","37,12","37,14","36,99","4,45M","-0,43%"
"26.04.2016","37,25","37,28","37,30","37,13","5,34M","0,38%"
"27.04.2016","37,31","37,15","37,35","37,08","4,54M","0,16%"
"28.04.2016","36,83","36,89","37,16","36,75","9,76M","-1,29%"
"29.04.2016","36,71","36,88","36,94","36,57","10,56M","-0,33%"
"02.05.2016","37,02","37,01","37,06","36,86","12,83M","0,84%"
"03.05.2016","36,40","36,67","36,70","36,35","8,45M","-1,67%"
"04.05.2016","35,96","36,09","36,15","35,86","9,98M","-1,21%"
"05.05.2016","35,93","35,99","36,07","35,79","7,02M","-0,08%"
"06.05.2016","36,01","35,78","36,02","35,73","6,48M","0,22%"
"09.05.2016","35,89","36,07","36,10","35,85","6,65M","-0,33%"
"10.05.2016","36,42","36,19","36,42","36,14","4,97M","1,48%"
"11.05.2016","36,16","36,24","36,35","36,15","6,02M","-0,71%"
"12.05.2016","36,13","36,42","36,47","35,97","6,32M","-0,08%"
"13.05.2016","35,73","35,86","35,99","35,66","5,47M","-1,11%"
"16.05.2016","36,17","35,87","36,21","35,87","4,57M","1,23%"
"17.05.2016","35,96","36,14","36,26","35,91","9,87M","-0,58%"
"18.05.2016","35,93","35,93","36,29","35,79","10,72M","-0,08%"
"19.05.2016","35,69","35,68","35,77","35,55","20,02M","-0,67%"
"20.05.2016","36,02","36,00","36,06","35,93","10,86M","0,92%"
"23.05.2016","35,90","35,90","35,99","35,82","7,10M","-0,33%"
"24.05.2016","36,34","36,11","36,42","36,09","12,34M","1,23%"
"25.05.2016","36,70","36,54","36,79","36,54","8,88M","0,99%"
"26.05.2016","36,78","36,83","36,91","36,70","6,27M","0,22%"
"27.05.2016","36,73","36,76","36,81","36,66","4,32M","-0,14%"
"31.05.2016","36,60","36,89","36,96","36,51","14,88M","-0,35%"
"01.06.2016","36,58","36,46","36,60","36,38","8,54M","-0,05%"
"02.06.2016","36,59","36,38","36,59","36,33","4,73M","0,03%"
"03.06.2016","36,88","36,76","36,90","36,59","14,50M","0,79%"
"06.06.2016","37,13","36,99","37,22","36,97","9,93M","0,68%"
"07.06.2016","37,41","37,42","37,50","37,39","4,91M","0,75%"
"08.06.2016","37,53","37,54","37,63","37,49","4,65M","0,32%"
"09.06.2016","37,06","37,09","37,16","36,96","6,60M","-1,25%"
"10.06.2016","36,06","36,40","36,40","35,95","5,92M","-2,70%"
"13.06.2016","35,54","35,61","35,90","35,47","10,39M","-1,44%"
"14.06.2016","34,56","34,74","34,80","34,37","13,06M","-2,76%"
"15.06.2016","34,79","34,86","35,00","34,72","14,62M","0,67%"
"16.06.2016","34,80","34,28","34,81","34,02","10,15M","0,03%"
"17.06.2016","35,13","34,95","35,20","34,76","9,51M","0,95%"
"20.06.2016","35,95","36,21","36,21","35,95","13,51M","2,33%"
"21.06.2016","36,23","36,18","36,47","36,06","9,68M","0,78%"
"22.06.2016","36,17","36,32","36,48","36,16","14,04M","-0,17%"
"23.06.2016","37,12","36,90","37,18","36,67","7,34M","2,63%"
"24.06.2016","34,08","34,22","34,92","34,08","20,03M","-8,19%"
"27.06.2016","33,42","33,62","33,67","33,01","16,23M","-1,94%"
"28.06.2016","34,31","34,16","34,31","33,92","19,63M","2,66%"
"29.06.2016","34,93","34,78","35,02","34,71","12,73M","1,81%"
"30.06.2016","35,36","34,99","35,37","34,87","15,91M","1,23%"
"01.07.2016","35,44","35,39","35,53","35,37","10,76M","0,23%"
"05.07.2016","34,74","35,04","35,06","34,67","7,08M","-1,98%"
"06.07.2016","34,75","34,37","34,75","34,17","10,04M","0,03%"
"07.07.2016","34,60","34,85","34,93","34,48","6,56M","-0,43%"
"08.07.2016","35,08","34,97","35,13","34,88","5,24M","1,39%"
"11.07.2016","35,56","35,49","35,69","35,49","8,94M","1,37%"
"12.07.2016","36,06","36,03","36,20","35,98","10,07M","1,41%"
"13.07.2016","36,03","36,11","36,20","35,95","8,67M","-0,08%"
"14.07.2016","36,34","36,34","36,43","36,27","6,51M","0,86%"
"15.07.2016","36,16","36,23","36,27","36,07","6,60M","-0,50%"
"18.07.2016","36,24","36,15","36,31","36,07","8,63M","0,22%"
"19.07.2016","35,95","35,99","36,02","35,87","4,20M","-0,80%"
"20.07.2016","36,21","36,15","36,29","36,09","6,35M","0,72%"
"21.07.2016","36,12","36,14","36,27","36,05","8,03M","-0,25%"
"22.07.2016","36,14","36,21","36,21","36,05","7,76M","0,06%"
"25.07.2016","36,08","36,20","36,21","36,00","3,85M","-0,17%"
"26.07.2016","36,25","36,23","36,36","36,13","4,52M","0,47%"
"27.07.2016","36,41","36,43","36,50","36,13","5,26M","0,44%"
"28.07.2016","36,41","36,38","36,45","36,22","4,25M","0,00%"
"29.07.2016","36,83","36,72","36,91","36,63","5,42M","1,15%"
"01.08.2016","36,62","36,77","36,82","36,58","10,71M","-0,57%"
"02.08.2016","36,44","36,60","36,60","36,30","7,38M","-0,49%"
"03.08.2016","36,30","36,16","36,31","36,10","7,07M","-0,38%"
"04.08.2016","36,51","36,45","36,54","36,36","7,46M","0,58%"
"05.08.2016","36,64","36,52","36,66","36,47","4,47M","0,36%"
"08.08.2016","36,76","36,74","36,78","36,71","4,87M","0,33%"
