"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"28.03.2016","59,72","60,06","60,23","59,31","11,56M","-0,53%"
"29.03.2016","60,01","59,05","60,05","58,70","14,37M","0,47%"
"30.03.2016","60,12","60,55","60,80","59,77","15,74M","0,19%"
"31.03.2016","60,09","59,89","60,55","59,79","14,05M","-0,05%"
"01.04.2016","59,29","59,05","59,46","58,85","14,80M","-1,34%"
"04.04.2016","58,85","59,18","59,80","58,67","15,81M","-0,74%"
"05.04.2016","58,45","58,35","58,87","58,20","16,05M","-0,67%"
"06.04.2016","59,71","58,93","59,72","58,49","18,22M","2,16%"
"07.04.2016","59,36","59,25","59,80","58,87","13,93M","-0,59%"
"08.04.2016","60,56","60,48","60,89","60,26","17,67M","2,01%"
"11.04.2016","60,31","61,04","61,23","60,31","16,24M","-0,42%"
"12.04.2016","62,10","60,54","62,46","60,41","27,63M","2,98%"
"13.04.2016","62,39","62,07","62,58","61,64","18,70M","0,47%"
"14.04.2016","62,54","62,66","62,67","62,17","17,44M","0,23%"
"15.04.2016","61,69","62,19","62,30","61,61","14,22M","-1,35%"
"18.04.2016","62,71","60,42","62,87","60,28","20,69M","1,65%"
"19.04.2016","63,97","63,07","64,04","62,78","17,34M","2,00%"
"20.04.2016","64,54","63,63","65,04","63,42","21,09M","0,90%"
"21.04.2016","64,16","64,63","64,90","64,03","19,34M","-0,59%"
"22.04.2016","65,09","64,32","65,34","64,27","15,76M","1,45%"
"25.04.2016","64,36","64,87","64,88","63,88","17,23M","-1,12%"
"26.04.2016","65,39","64,73","65,42","64,58","13,59M","1,60%"
"27.04.2016","66,64","65,73","66,78","65,68","21,96M","1,90%"
"28.04.2016","65,65","66,34","66,82","65,39","15,56M","-1,49%"
"29.04.2016","65,54","65,79","66,43","64,54","24,11M","-0,16%"
"02.05.2016","65,47","65,42","65,70","64,67","15,07M","-0,10%"
"03.05.2016","63,93","64,59","64,71","63,53","16,16M","-2,36%"
"04.05.2016","63,01","63,97","64,41","62,63","18,61M","-1,44%"
"05.05.2016","63,52","64,07","64,42","63,00","14,35M","0,82%"
"06.05.2016","63,38","63,11","64,15","62,95","12,55M","-0,23%"
"09.05.2016","62,45","63,01","63,15","61,66","16,02M","-1,46%"
"10.05.2016","63,55","62,77","63,57","62,74","10,35M","1,76%"
"11.05.2016","63,74","63,39","64,31","62,88","14,21M","0,31%"
"12.05.2016","63,92","64,32","64,80","63,44","12,48M","0,27%"
"13.05.2016","63,10","63,64","64,12","62,97","12,37M","-1,28%"
"16.05.2016","64,17","63,93","64,38","63,74","13,73M","1,69%"
"17.05.2016","64,47","64,18","64,97","63,98","15,84M","0,47%"
"18.05.2016","63,85","64,46","64,67","63,44","22,95M","-0,96%"
"19.05.2016","63,86","63,21","64,01","62,62","16,85M","0,02%"
"20.05.2016","64,24","64,05","64,38","63,67","9,83M","0,59%"
"23.05.2016","64,07","63,86","64,36","63,64","10,27M","-0,26%"
"24.05.2016","64,39","64,40","64,77","64,00","11,30M","0,50%"
"25.05.2016","65,41","64,78","65,51","64,72","14,27M","1,58%"
"26.05.2016","65,14","65,67","65,95","64,94","10,72M","-0,42%"
"27.05.2016","65,18","64,91","65,22","64,55","9,26M","0,06%"
"31.05.2016","64,93","65,34","65,85","64,64","15,41M","-0,39%"
"01.06.2016","64,95","64,30","65,14","64,13","16,70M","0,03%"
"02.06.2016","64,86","64,45","64,90","64,21","12,85M","-0,14%"
"03.06.2016","64,61","64,86","65,20","64,22","12,16M","-0,39%"
"06.06.2016","66,04","65,24","66,09","65,12","18,22M","2,21%"
"07.06.2016","67,53","66,25","67,71","66,23","15,62M","2,26%"
"08.06.2016","67,38","67,94","68,22","67,19","18,13M","-0,23%"
"09.06.2016","66,86","66,60","67,20","66,53","12,34M","-0,76%"
"10.06.2016","65,41","66,17","66,60","65,33","14,49M","-2,16%"
"13.06.2016","65,22","65,09","66,10","65,03","11,59M","-0,30%"
"14.06.2016","65,18","64,95","65,51","64,44","12,20M","-0,06%"
"15.06.2016","65,03","64,94","65,81","64,56","16,83M","-0,24%"
"16.06.2016","64,71","64,33","64,81","63,44","19,99M","-0,48%"
"17.06.2016","64,95","64,96","65,07","64,57","17,44M","0,36%"
"20.06.2016","65,51","65,88","66,03","65,45","10,91M","0,87%"
"21.06.2016","66,29","65,36","66,42","65,17","11,22M","1,18%"
"22.06.2016","65,92","66,58","66,58","65,86","10,26M","-0,56%"
"23.06.2016","67,01","66,61","67,03","66,36","9,54M","1,65%"
