"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"28.03.2016","80,08","80,08","80,48","78,97","3,41M","-0,50%"
"29.03.2016","78,40","77,68","78,56","77,04","4,37M","-2,10%"
"30.03.2016","77,84","79,92","81,04","77,60","4,62M","-0,71%"
"31.03.2016","77,60","77,44","79,36","77,36","4,09M","-0,31%"
"01.04.2016","74,63","75,28","75,64","74,56","5,03M","-3,83%"
"04.04.2016","72,64","74,56","75,68","72,40","4,84M","-2,67%"
"05.04.2016","73,04","72,56","73,52","71,92","5,33M","0,55%"
"06.04.2016","76,80","75,04","77,04","74,56","5,71M","5,15%"
"07.04.2016","76,08","75,92","76,40","74,66","3,53M","-0,94%"
"08.04.2016","80,24","79,80","80,88","79,44","5,89M","5,47%"
"11.04.2016","82,24","81,52","82,72","81,20","3,63M","2,49%"
"12.04.2016","85,12","82,96","85,76","82,48","7,08M","3,50%"
"13.04.2016","84,08","84,72","85,92","83,84","5,37M","-1,22%"
"14.04.2016","83,84","84,64","85,20","83,36","3,97M","-0,29%"
"15.04.2016","82,00","82,24","82,64","81,04","4,37M","-2,19%"
"18.04.2016","81,36","78,72","81,92","78,32","4,87M","-0,78%"
"19.04.2016","83,52","82,00","84,32","81,76","4,68M","2,65%"
"20.04.2016","86,08","81,92","87,04","81,60","5,31M","3,07%"
"21.04.2016","85,76","85,68","86,56","84,64","3,39M","-0,37%"
"22.04.2016","86,08","86,00","87,44","85,52","3,75M","0,37%"
"25.04.2016","84,40","86,24","86,48","83,76","2,75M","-1,95%"
"26.04.2016","86,48","85,28","86,96","84,96","2,40M","2,46%"
"27.04.2016","89,12","88,20","89,72","86,08","4,74M","3,05%"
"28.04.2016","89,76","89,28","90,72","88,80","3,12M","0,72%"
"29.04.2016","90,40","91,36","92,00","88,96","4,35M","0,71%"
"02.05.2016","88,40","89,92","90,00","87,60","2,70M","-2,21%"
"03.05.2016","85,92","86,88","87,04","85,24","3,55M","-2,81%"
"04.05.2016","86,32","87,44","88,29","85,04","3,11M","0,47%"
"05.05.2016","87,20","89,84","89,92","86,48","4,27M","1,02%"
"06.05.2016","87,68","86,48","89,20","86,24","3,30M","0,55%"
"09.05.2016","85,44","86,88","87,28","85,12","2,77M","-2,55%"
"10.05.2016","87,92","86,00","88,16","85,76","2,63M","2,90%"
"11.05.2016","90,72","87,28","91,36","86,80","3,67M","3,18%"
"12.05.2016","91,60","92,20","92,24","89,76","2,99M","0,97%"
"13.05.2016","90,96","90,80","91,44","90,16","1,90M","-0,70%"
"16.05.2016","94,08","93,44","94,32","93,04","3,34M","3,43%"
"17.05.2016","95,36","94,00","95,44","93,68","2,79M","1,36%"
"18.05.2016","93,60","94,80","96,00","93,60","3,68M","-1,85%"
"19.05.2016","94,32","92,64","94,40","91,53","2,74M","0,77%"
"20.05.2016","94,00","94,32","94,88","92,88","2,40M","-0,34%"
"23.05.2016","93,28","92,08","93,51","91,92","2,04M","-0,77%"
"24.05.2016","94,56","93,36","94,80","93,28","2,14M","1,37%"
"25.05.2016","96,24","95,36","96,40","94,28","3,14M","1,78%"
"26.05.2016","95,60","96,88","96,96","95,36","2,71M","-0,67%"
"27.05.2016","95,84","94,72","95,92","94,40","1,76M","0,25%"
"31.05.2016","94,96","95,84","97,04","94,56","2,11M","-0,92%"
"01.06.2016","95,44","92,96","95,44","92,48","3,19M","0,51%"
"02.06.2016","94,88","93,36","95,68","93,20","2,80M","-0,59%"
"03.06.2016","94,56","95,12","95,12","93,60","2,40M","-0,34%"
"06.06.2016","96,32","96,08","96,64","95,20","2,93M","1,86%"
"07.06.2016","97,76","96,80","97,92","96,56","2,28M","1,50%"
"08.06.2016","99,44","98,72","99,60","98,20","3,31M","1,72%"
"09.06.2016","98,00","97,52","98,56","97,52","2,25M","-1,45%"
"10.06.2016","94,96","96,16","96,80","94,64","2,63M","-3,10%"
"13.06.2016","94,08","93,68","95,52","93,60","2,27M","-0,93%"
"14.06.2016","93,84","93,84","94,32","93,28","1,98M","-0,26%"
"15.06.2016","91,76","92,56","94,24","91,44","2,92M","-2,22%"
"16.06.2016","89,12","91,20","91,33","88,88","3,88M","-2,88%"
"17.06.2016","93,28","91,60","93,36","91,12","4,37M","4,67%"
"20.06.2016","95,28","94,56","95,68","94,08","3,26M","2,14%"
"21.06.2016","95,12","94,04","95,52","93,52","2,73M","-0,17%"
"22.06.2016","93,92","95,92","96,32","92,64","3,26M","-1,26%"
"23.06.2016","95,84","95,36","96,00","94,24","2,37M","2,04%"
"24.06.2016","91,20","91,04","92,64","90,88","4,10M","-4,84%"
"27.06.2016","89,52","89,76","89,76","87,68","3,23M","-1,84%"
"28.06.2016","91,76","91,20","91,76","89,61","2,92M","2,50%"
"29.06.2016","94,32","92,40","95,68","92,00","3,10M","2,79%"
"30.06.2016","92,56","93,28","94,32","92,16","2,76M","-1,87%"
"01.07.2016","94,24","92,16","94,24","92,00","2,57M","1,82%"
"05.07.2016","89,44","90,80","90,96","88,72","3,77M","-5,09%"
"06.07.2016","90,64","88,72","91,28","88,10","2,18M","1,34%"
"07.07.2016","86,56","92,00","92,32","85,88","4,54M","-4,50%"
"08.07.2016","86,64","87,28","87,60","85,68","2,69M","0,09%"
"11.07.2016","85,20","87,28","87,60","85,12","2,10M","-1,66%"
"12.07.2016","89,52","88,32","89,84","87,12","3,83M","5,07%"
"13.07.2016","86,00","88,56","89,20","85,20","4,29M","-3,93%"
"14.07.2016","86,96","86,88","87,60","86,08","2,68M","1,12%"
"15.07.2016","87,92","87,92","88,61","87,12","2,96M","1,10%"
"18.07.2016","86,56","86,32","87,04","85,76","2,48M","-1,55%"
"19.07.2016","85,60","86,32","86,56","85,44","2,22M","-1,11%"
"20.07.2016","85,84","84,40","86,80","84,08","3,32M","0,28%"
"21.07.2016","83,92","85,44","86,00","83,92","2,54M","-2,24%"
"22.07.2016","83,36","83,92","84,00","82,40","2,81M","-0,67%"
"25.07.2016","81,04","81,60","81,84","80,88","3,04M","-2,78%"
"26.07.2016","80,64","80,80","81,34","80,16","2,98M","-0,49%"
"27.07.2016","79,20","80,80","81,36","78,48","3,62M","-1,79%"
"28.07.2016","77,36","78,80","79,12","77,28","3,55M","-2,32%"
"29.07.2016","78,08","77,04","78,48","76,40","3,19M","0,93%"
"01.08.2016","75,28","76,96","77,17","75,04","4,75M","-3,59%"
"02.08.2016","74,64","76,72","77,04","73,92","3,79M","-0,85%"
"03.08.2016","77,52","74,80","77,52","73,84","4,55M","3,86%"
"04.08.2016","78,72","76,52","79,28","76,32","3,78M","1,55%"
"05.08.2016","78,88","78,64","78,96","77,28","3,86M","0,20%"
"08.08.2016","80,80","80,24","81,68","80,16","3,61M","2,43%"
"09.08.2016","80,56","81,52","81,92","80,08","3,22M","-0,30%"
"10.08.2016","78,16","80,80","81,68","78,00","3,88M","-2,98%"
"11.08.2016","81,68","79,12","82,56","78,88","3,95M","4,50%"
"12.08.2016","84,00","82,40","84,00","82,08","3,99M","2,84%"
"15.08.2016","86,08","84,72","86,24","84,48","4,25M","2,48%"
