"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"28.03.2016","52,00","53,00","53,00","51,55","1,20M","-0,67%"
"29.03.2016","52,35","51,15","52,60","50,75","1,67M","0,67%"
"30.03.2016","53,55","53,10","54,25","52,75","2,56M","2,29%"
"31.03.2016","54,60","53,45","54,90","53,17","1,51M","1,96%"
"01.04.2016","53,00","53,50","53,85","52,35","1,70M","-2,93%"
"04.04.2016","51,95","52,90","53,75","51,80","1,09M","-1,98%"
"05.04.2016","51,35","51,25","52,04","51,20","1,67M","-1,15%"
"06.04.2016","52,75","51,70","53,20","51,50","1,77M","2,73%"
"07.04.2016","53,05","52,20","53,25","52,02","1,28M","0,57%"
"08.04.2016","54,45","54,65","55,05","54,05","1,49M","2,64%"
"11.04.2016","54,45","55,10","55,85","54,15","2,14M","0,00%"
"12.04.2016","56,50","54,65","56,95","54,50","2,17M","3,76%"
"13.04.2016","56,45","56,75","56,98","55,90","2,23M","-0,09%"
"14.04.2016","56,30","57,10","57,10","55,77","2,17M","-0,27%"
"15.04.2016","55,20","55,50","56,55","55,15","1,96M","-1,95%"
"18.04.2016","57,05","53,95","57,34","53,50","2,53M","3,35%"
"19.04.2016","59,35","57,60","59,50","57,50","2,54M","4,03%"
"20.04.2016","60,45","59,10","61,00","58,80","2,86M","1,85%"
"21.04.2016","60,50","60,55","61,25","60,10","2,58M","0,08%"
"22.04.2016","61,05","60,85","61,35","60,55","3,20M","0,91%"
"25.04.2016","60,15","60,90","61,30","59,80","1,63M","-1,47%"
"26.04.2016","59,80","60,40","60,85","59,50","2,90M","-0,58%"
"27.04.2016","61,10","60,35","61,77","60,25","2,38M","2,17%"
"28.04.2016","60,15","60,95","61,40","60,00","2,10M","-1,55%"
"29.04.2016","61,05","60,30","61,55","60,20","2,35M","1,50%"
"02.05.2016","60,60","61,50","61,55","59,70","1,73M","-0,74%"
"03.05.2016","59,10","59,90","60,25","58,25","3,33M","-2,48%"
"04.05.2016","59,55","59,65","60,20","58,70","2,12M","0,76%"
"05.05.2016","60,50","60,55","61,75","60,30","2,71M","1,60%"
"06.05.2016","60,35","60,30","61,20","59,95","1,76M","-0,25%"
"09.05.2016","59,55","60,05","60,40","58,10","3,86M","-1,33%"
"10.05.2016","59,45","60,00","60,70","59,30","2,33M","-0,17%"
"11.05.2016","58,85","57,95","59,55","57,10","3,20M","-1,01%"
"12.05.2016","59,85","59,55","60,15","59,10","1,46M","1,70%"
"13.05.2016","59,50","59,50","60,45","59,20","1,31M","-0,58%"
"16.05.2016","61,30","60,25","61,40","60,10","2,19M","3,03%"
"17.05.2016","61,80","61,45","62,45","60,85","3,35M","0,82%"
"18.05.2016","60,25","62,05","62,25","59,95","2,40M","-2,51%"
"19.05.2016","61,27","59,95","61,55","59,25","2,06M","1,69%"
"20.05.2016","62,10","61,70","62,55","60,95","1,79M","1,35%"
"23.05.2016","61,80","62,10","62,40","61,50","1,36M","-0,48%"
"24.05.2016","61,35","62,35","62,80","61,10","2,48M","-0,73%"
"25.05.2016","61,85","61,85","62,50","61,30","1,67M","0,81%"
"26.05.2016","61,15","62,35","62,50","60,95","1,55M","-1,13%"
"27.05.2016","61,10","61,20","61,53","60,35","1,18M","-0,08%"
"31.05.2016","61,05","61,45","62,20","60,85","1,74M","-0,08%"
"01.06.2016","62,70","60,60","62,77","60,45","1,64M","2,70%"
"02.06.2016","63,05","62,20","63,15","61,95","2,50M","0,56%"
"03.06.2016","62,95","62,90","63,40","62,40","1,19M","-0,16%"
"06.06.2016","63,85","63,70","64,00","63,10","1,39M","1,43%"
"07.06.2016","64,20","64,00","64,75","64,00","1,39M","0,55%"
"08.06.2016","64,00","64,75","64,80","63,62","2,13M","-0,31%"
"09.06.2016","63,95","63,20","64,00","63,00","1,19M","-0,08%"
"10.06.2016","62,80","63,00","63,60","62,35","2,67M","-1,80%"
"13.06.2016","62,05","62,25","62,80","61,70","2,04M","-1,19%"
"14.06.2016","61,45","61,90","62,05","60,50","2,26M","-0,97%"
"15.06.2016","62,25","61,20","62,65","60,70","1,77M","1,30%"
"16.06.2016","62,40","61,75","62,55","60,95","1,94M","0,24%"
"17.06.2016","62,45","62,55","62,95","62,05","2,91M","0,08%"
"20.06.2016","62,75","63,55","63,75","62,55","1,43M","0,48%"
"21.06.2016","63,70","62,50","63,85","62,40","1,22M","1,51%"
"22.06.2016","63,65","63,55","64,20","63,10","1,23M","-0,08%"
"23.06.2016","64,55","64,60","64,65","63,60","1,38M","1,41%"
