"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"28.03.2016","33,11","32,82","33,22","32,71","1,91M","1,01%"
"29.03.2016","33,67","33,06","33,70","33,06","4,21M","1,69%"
"30.03.2016","33,62","33,80","33,92","33,57","3,92M","-0,15%"
"31.03.2016","33,84","33,61","33,91","33,56","1,83M","0,65%"
"01.04.2016","34,09","33,63","34,12","33,55","2,70M","0,74%"
"04.04.2016","33,66","34,08","34,11","33,47","5,35M","-1,26%"
"05.04.2016","33,69","33,37","33,84","33,33","3,25M","0,09%"
"06.04.2016","34,17","33,74","34,23","33,70","3,70M","1,42%"
"07.04.2016","33,81","34,06","34,27","33,61","2,77M","-1,05%"
"08.04.2016","33,90","34,12","34,18","33,83","1,22M","0,27%"
"11.04.2016","33,88","34,07","34,39","33,88","2,09M","-0,06%"
"12.04.2016","34,17","33,98","34,23","33,84","1,60M","0,86%"
"13.04.2016","34,91","34,36","34,92","34,36","1,93M","2,17%"
"14.04.2016","34,71","34,86","34,95","34,65","2,28M","-0,57%"
"15.04.2016","34,84","34,75","34,84","34,60","1,39M","0,37%"
"18.04.2016","34,90","34,66","34,97","34,61","1,64M","0,17%"
"19.04.2016","34,72","34,90","35,17","34,45","4,07M","-0,52%"
"20.04.2016","34,85","34,73","35,00","34,57","4,65M","0,37%"
"21.04.2016","34,73","34,98","35,13","34,73","2,37M","-0,34%"
"22.04.2016","34,74","34,87","34,96","34,59","1,62M","0,03%"
"25.04.2016","34,51","34,68","34,76","34,38","1,31M","-0,66%"
"26.04.2016","34,83","34,51","34,84","34,36","2,84M","0,93%"
"27.04.2016","34,84","34,86","34,96","34,59","2,30M","0,03%"
"28.04.2016","33,79","34,55","34,62","33,73","4,42M","-3,01%"
"29.04.2016","33,66","33,73","33,82","33,33","4,91M","-0,38%"
"02.05.2016","34,00","33,83","34,07","33,76","1,72M","1,01%"
"03.05.2016","33,46","33,71","33,81","33,28","2,14M","-1,59%"
"04.05.2016","33,38","33,25","33,57","33,17","2,67M","-0,24%"
"05.05.2016","33,30","33,48","33,57","33,24","2,01M","-0,24%"
"06.05.2016","33,50","33,12","33,57","33,12","2,42M","0,60%"
"09.05.2016","33,52","33,49","33,72","33,35","1,47M","0,06%"
"10.05.2016","33,83","33,69","33,86","33,52","1,78M","0,92%"
"11.05.2016","33,17","33,65","33,74","33,15","3,46M","-1,95%"
"12.05.2016","33,14","33,30","33,43","32,89","3,36M","-0,09%"
"13.05.2016","32,82","33,03","33,32","32,79","2,15M","-0,97%"
"16.05.2016","33,05","32,84","33,14","32,84","2,83M","0,70%"
"17.05.2016","32,93","32,97","33,30","32,78","4,12M","-0,36%"
"18.05.2016","32,82","32,80","33,15","32,58","4,07M","-0,33%"
"19.05.2016","32,77","32,61","32,89","32,46","3,22M","-0,15%"
"20.05.2016","33,23","32,98","33,26","32,94","2,42M","1,40%"
"23.05.2016","32,98","33,13","33,30","32,95","1,71M","-0,75%"
"24.05.2016","33,99","33,32","34,08","33,23","4,92M","3,06%"
"25.05.2016","34,13","34,20","34,43","33,99","2,67M","0,41%"
"26.05.2016","34,01","34,25","34,32","33,94","3,38M","-0,35%"
"27.05.2016","34,29","33,96","34,37","33,96","2,21M","0,82%"
"31.05.2016","34,18","34,34","34,41","34,03","3,98M","-0,32%"
"01.06.2016","34,41","34,02","34,46","33,85","2,61M","0,67%"
"02.06.2016","34,39","34,30","34,40","34,09","4,43M","-0,06%"
"03.06.2016","34,20","34,25","34,29","33,82","3,78M","-0,55%"
"06.06.2016","34,23","34,16","34,42","33,99","3,78M","0,09%"
"07.06.2016","34,68","34,45","34,92","34,12","3,49M","1,31%"
"08.06.2016","34,96","34,81","35,03","34,64","3,47M","0,81%"
