"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"28.03.2016","16,08","16,16","16,18","16,02","7,38M","-1,17%"
"29.03.2016","16,20","15,86","16,21","15,74","13,00M","0,75%"
"30.03.2016","16,27","16,44","16,57","16,25","13,71M","0,43%"
"31.03.2016","16,36","16,51","16,60","16,34","11,16M","0,55%"
"01.04.2016","16,31","15,96","16,38","15,93","8,58M","-0,31%"
"04.04.2016","15,95","16,15","16,31","15,93","10,86M","-2,21%"
"05.04.2016","15,91","15,83","16,02","15,76","6,57M","-0,25%"
"06.04.2016","16,32","15,99","16,33","15,85","12,32M","2,58%"
"07.04.2016","16,07","16,04","16,13","15,97","9,31M","-1,53%"
"08.04.2016","16,47","16,40","16,50","16,38","14,07M","2,49%"
"11.04.2016","16,83","16,79","16,93","16,77","9,85M","2,19%"
"12.04.2016","17,31","16,88","17,39","16,86","15,46M","2,85%"
"13.04.2016","17,21","17,38","17,51","17,20","14,79M","-0,58%"
"14.04.2016","17,03","17,13","17,18","16,98","8,39M","-1,05%"
"15.04.2016","16,80","16,92","16,94","16,76","17,48M","-1,35%"
"18.04.2016","16,76","16,36","16,91","16,31","8,79M","-0,24%"
"19.04.2016","17,26","17,19","17,35","17,13","17,51M","2,98%"
"20.04.2016","17,76","17,41","17,85","17,35","17,66M","2,90%"
"21.04.2016","17,27","17,43","17,49","17,26","19,11M","-2,76%"
"22.04.2016","17,43","17,51","17,61","17,28","9,36M","0,93%"
"25.04.2016","17,23","17,53","17,53","17,22","11,61M","-1,15%"
"26.04.2016","17,48","17,31","17,49","17,20","9,28M","1,45%"
"27.04.2016","17,55","17,40","17,58","17,14","8,55M","0,40%"
"28.04.2016","17,71","17,65","18,03","17,64","10,78M","0,91%"
"29.04.2016","17,74","17,87","17,91","17,59","11,34M","0,17%"
"02.05.2016","17,47","17,80","17,81","17,43","11,12M","-1,52%"
"03.05.2016","17,01","17,25","17,30","16,97","11,11M","-2,63%"
"04.05.2016","16,66","17,03","17,08","16,66","20,21M","-2,06%"
"05.05.2016","16,91","17,09","17,10","16,79","11,13M","1,50%"
"06.05.2016","16,87","16,78","17,01","16,77","7,72M","-0,24%"
"09.05.2016","16,53","16,86","16,87","16,51","8,73M","-2,02%"
"10.05.2016","16,88","16,62","16,91","16,61","12,07M","2,12%"
"11.05.2016","17,19","16,96","17,31","16,90","11,83M","1,84%"
"12.05.2016","17,27","17,32","17,38","16,99","6,04M","0,47%"
"13.05.2016","17,07","17,10","17,27","17,05","8,75M","-1,16%"
"16.05.2016","17,41","17,50","17,61","17,33","10,59M","1,99%"
"17.05.2016","17,40","17,21","17,52","17,19","6,54M","-0,06%"
"18.05.2016","16,98","17,27","17,39","16,95","16,27M","-2,41%"
"19.05.2016","16,75","16,80","16,82","16,60","15,95M","-1,35%"
"20.05.2016","16,74","16,77","16,82","16,62","6,26M","-0,06%"
"23.05.2016","16,64","16,43","16,69","16,41","5,59M","-0,60%"
"24.05.2016","16,78","16,70","16,80","16,66","6,46M","0,84%"
"25.05.2016","17,15","17,13","17,18","16,96","12,19M","2,20%"
"26.05.2016","17,16","17,37","17,42","17,09","5,74M","0,06%"
"27.05.2016","17,24","17,16","17,34","17,12","4,46M","0,47%"
"31.05.2016","16,82","17,15","17,27","16,78","13,92M","-2,44%"
"01.06.2016","16,70","16,66","16,84","16,59","8,25M","-0,71%"
"02.06.2016","16,77","16,46","16,82","16,44","6,64M","0,42%"
"03.06.2016","17,07","16,88","17,18","16,79","12,41M","1,79%"
"06.06.2016","17,44","17,31","17,44","17,20","9,56M","2,17%"
"07.06.2016","17,85","17,63","17,87","17,62","10,50M","2,35%"
"08.06.2016","18,13","17,99","18,14","17,93","8,01M","1,57%"
"09.06.2016","17,78","17,81","17,88","17,72","10,99M","-1,93%"
"10.06.2016","17,18","17,46","17,46","17,17","14,35M","-3,37%"
"13.06.2016","16,97","16,97","17,19","16,96","8,16M","-1,22%"
"14.06.2016","16,82","16,85","16,95","16,64","19,23M","-0,88%"
"15.06.2016","17,01","16,92","17,20","16,90","11,38M","1,13%"
"16.06.2016","16,78","16,72","16,93","16,52","11,92M","-1,35%"
"17.06.2016","17,14","17,07","17,19","16,95","14,48M","2,15%"
"20.06.2016","17,51","17,47","17,59","17,43","13,53M","2,16%"
"21.06.2016","17,62","17,38","17,71","17,34","6,25M","0,63%"
"22.06.2016","17,17","17,43","17,51","17,16","12,63M","-2,55%"
"23.06.2016","17,84","17,48","17,85","17,44","19,21M","3,90%"
