"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"28.03.2016","43,51","43,66","43,72","43,43","6,41M","-0,25%"
"29.03.2016","44,19","43,43","44,22","43,38","10,08M","1,56%"
"30.03.2016","44,45","44,42","44,67","44,35","10,99M","0,59%"
"31.03.2016","44,36","44,39","44,58","44,28","14,59M","-0,20%"
"01.04.2016","44,70","44,05","44,72","44,01","9,65M","0,77%"
"04.04.2016","44,53","44,63","44,73","44,44","7,65M","-0,38%"
"05.04.2016","44,10","44,24","44,35","44,01","10,73M","-0,97%"
"06.04.2016","44,53","44,11","44,53","43,95","11,14M","0,98%"
"07.04.2016","43,89","44,21","44,30","43,72","10,63M","-1,44%"
"08.04.2016","43,89","44,12","44,28","43,74","8,76M","0,00%"
"11.04.2016","43,77","44,08","44,34","43,77","8,14M","-0,27%"
"12.04.2016","44,07","43,85","44,10","43,55","9,59M","0,69%"
"13.04.2016","44,52","44,33","44,59","44,28","7,88M","1,02%"
"14.04.2016","44,51","44,46","44,65","44,35","6,50M","-0,02%"
"15.04.2016","44,34","44,45","44,56","44,25","6,46M","-0,38%"
"18.04.2016","44,53","44,21","44,53","44,14","7,11M","0,43%"
"19.04.2016","44,28","44,61","44,66","44,03","6,47M","-0,56%"
"20.04.2016","44,37","44,32","44,57","44,19","6,88M","0,20%"
"21.04.2016","44,21","44,31","44,40","44,10","11,28M","-0,36%"
"22.04.2016","43,44","43,51","43,73","43,21","14,92M","-1,74%"
"25.04.2016","43,45","43,32","43,47","43,21","9,36M","0,02%"
"26.04.2016","43,24","43,50","43,60","43,10","7,37M","-0,48%"
"27.04.2016","43,04","42,69","43,09","42,53","12,78M","-0,46%"
"28.04.2016","42,50","43,11","43,26","42,36","22,67M","-1,25%"
"29.04.2016","42,13","42,26","42,33","41,82","11,90M","-0,87%"
"02.05.2016","42,44","42,22","42,48","42,04","12,55M","0,74%"
"03.05.2016","42,05","42,15","42,24","41,91","12,53M","-0,92%"
"04.05.2016","41,92","41,86","42,04","41,80","11,25M","-0,31%"
"05.05.2016","41,94","42,04","42,13","41,84","13,56M","0,05%"
"06.05.2016","42,25","41,76","42,25","41,76","9,23M","0,74%"
"09.05.2016","42,25","42,27","42,45","42,22","7,54M","0,00%"
"10.05.2016","42,80","42,38","42,80","42,33","13,92M","1,30%"
"11.05.2016","42,49","42,69","42,93","42,49","7,15M","-0,72%"
"12.05.2016","42,37","42,65","42,65","42,10","9,34M","-0,28%"
"13.05.2016","42,21","42,36","42,62","42,16","10,92M","-0,38%"
"16.05.2016","42,80","42,25","42,90","42,25","6,39M","1,40%"
"17.05.2016","42,37","42,67","42,88","42,24","9,94M","-1,00%"
"18.05.2016","42,45","42,26","42,78","42,20","10,90M","0,19%"
"19.05.2016","42,22","42,35","42,40","41,97","8,63M","-0,54%"
"20.05.2016","42,73","42,45","42,83","42,42","5,87M","1,21%"
"23.05.2016","42,65","42,71","42,89","42,61","8,43M","-0,19%"
"24.05.2016","43,45","42,82","43,52","42,82","9,46M","1,88%"
"25.05.2016","43,75","43,63","43,89","43,57","9,84M","0,69%"
"26.05.2016","43,89","43,75","43,96","43,66","6,52M","0,32%"
"27.05.2016","44,10","43,88","44,16","43,83","7,79M","0,48%"
"31.05.2016","44,19","44,14","44,25","43,93","12,37M","0,20%"
"01.06.2016","44,08","44,04","44,20","43,97","6,89M","-0,25%"
"02.06.2016","44,04","43,90","44,04","43,68","7,76M","-0,09%"
"03.06.2016","43,94","43,98","44,03","43,70","8,30M","-0,23%"
"06.06.2016","44,02","43,97","44,17","43,93","8,64M","0,18%"
"07.06.2016","44,20","44,16","44,30","44,15","4,41M","0,41%"
"08.06.2016","44,29","44,19","44,36","44,12","8,16M","0,20%"
"09.06.2016","44,30","44,11","44,35","44,08","12,92M","0,02%"
"10.06.2016","43,96","43,96","44,10","43,81","8,28M","-0,77%"
"13.06.2016","43,47","43,57","43,83","43,46","11,85M","-1,11%"
"14.06.2016","43,57","43,37","43,64","43,26","8,42M","0,23%"
"15.06.2016","43,46","43,64","43,73","43,41","7,08M","-0,25%"
"16.06.2016","43,55","43,24","43,62","43,00","9,60M","0,21%"
"17.06.2016","43,05","43,25","43,35","42,85","11,47M","-1,15%"
"20.06.2016","43,23","43,43","43,60","43,22","6,86M","0,42%"
"21.06.2016","43,53","43,36","43,63","43,32","5,74M","0,69%"
